Datum Zeit,Klingenthal CO
,mg/m3
01-02-01 00:00,0.1
31-01-01 23:00,0.1
31-01-01 22:00,0.1
31-01-01 21:00,0.1
31-01-01 20:00,0.3
31-01-01 19:00,0.3
31-01-01 18:00,0.3
31-01-01 17:00,0.5
31-01-01 16:00,0.6
31-01-01 15:00,0.4
31-01-01 14:00,0.2
31-01-01 13:00,0.4
31-01-01 12:00,0.4
31-01-01 11:00,0.4
31-01-01 10:00,0.9
31-01-01 09:00,1.1
31-01-01 08:00,0.9
31-01-01 07:00,0.5
31-01-01 06:00,0.2
31-01-01 05:00,0.2
31-01-01 04:00,0.2
31-01-01 03:00,0.2
31-01-01 02:00,0.4
31-01-01 01:00,0.4
31-01-01 00:00,0.3
30-01-01 23:00,0.2
30-01-01 22:00,0.3
30-01-01 21:00,0.6
30-01-01 20:00,1.7
30-01-01 19:00,1.4
30-01-01 18:00,0.8
30-01-01 17:00,1.0
30-01-01 16:00,0.4
30-01-01 15:00,0.5
30-01-01 14:00,0.3
30-01-01 13:00,0.3
30-01-01 12:00,0.3
30-01-01 11:00,0.9
30-01-01 10:00,1.2
30-01-01 09:00,0.6
30-01-01 08:00,0.7
30-01-01 07:00,
30-01-01 06:00,0.2
30-01-01 05:00,0.1
30-01-01 04:00,0.1
30-01-01 03:00,0.1
30-01-01 02:00,0.1
30-01-01 01:00,0.1
30-01-01 00:00,0.2
29-01-01 23:00,0.2
29-01-01 22:00,0.2
29-01-01 21:00,0.3
29-01-01 20:00,0.3
29-01-01 19:00,0.5
29-01-01 18:00,0.8
29-01-01 17:00,1.7
29-01-01 16:00,1.0
29-01-01 15:00,0.4
29-01-01 14:00,0.3
29-01-01 13:00,0.3
29-01-01 12:00,1.3
29-01-01 11:00,1.4
29-01-01 10:00,0.6
29-01-01 09:00,0.2
29-01-01 08:00,0.2
29-01-01 07:00,0.4
29-01-01 06:00,0.4
29-01-01 05:00,0.1
29-01-01 04:00,0.1
29-01-01 03:00,0.2
29-01-01 02:00,0.3
29-01-01 01:00,0.4
29-01-01 00:00,0.5
28-01-01 23:00,0.7
28-01-01 22:00,1.0
28-01-01 21:00,0.8
