Datum Zeit,Leipzig-West BEN
,µg/m³
01-01-06 00:00,0.9
31-12-05 23:00,1.0
31-12-05 22:00,1.2
31-12-05 21:00,
31-12-05 20:00,
31-12-05 19:00,
31-12-05 18:00,
31-12-05 17:00,
31-12-05 16:00,1.2
31-12-05 15:00,1.2
31-12-05 14:00,1.3
31-12-05 13:00,1.8
31-12-05 12:00,1.9
31-12-05 11:00,1.7
31-12-05 10:00,1.4
31-12-05 09:00,1.2
31-12-05 08:00,1.3
31-12-05 07:00,1.1
31-12-05 06:00,1.2
31-12-05 05:00,1.5
31-12-05 04:00,1.5
31-12-05 03:00,1.5
31-12-05 02:00,1.4
31-12-05 01:00,1.2
31-12-05 00:00,1.3
30-12-05 23:00,1.4
30-12-05 22:00,1.7
30-12-05 21:00,2.2
30-12-05 20:00,2.8
30-12-05 19:00,2.8
30-12-05 18:00,2.9
30-12-05 17:00,2.1
30-12-05 16:00,1.9
30-12-05 15:00,1.8
30-12-05 14:00,1.9
30-12-05 13:00,2.2
30-12-05 12:00,2.3
30-12-05 11:00,2.1
30-12-05 10:00,2.0
30-12-05 09:00,2.0
30-12-05 08:00,2.0
30-12-05 07:00,1.7
30-12-05 06:00,1.5
30-12-05 05:00,1.4
30-12-05 04:00,1.5
30-12-05 03:00,1.6
30-12-05 02:00,1.4
30-12-05 01:00,1.6
30-12-05 00:00,1.6
29-12-05 23:00,1.6
29-12-05 22:00,1.8
29-12-05 21:00,1.8
29-12-05 20:00,1.7
29-12-05 19:00,1.8
29-12-05 18:00,1.6
29-12-05 17:00,1.8
29-12-05 16:00,1.7
29-12-05 15:00,1.5
29-12-05 14:00,1.5
29-12-05 13:00,1.4
29-12-05 12:00,1.4
29-12-05 11:00,1.5
29-12-05 10:00,1.2
29-12-05 09:00,1.4
29-12-05 08:00,1.4
29-12-05 07:00,1.7
29-12-05 06:00,1.8
29-12-05 05:00,1.5
29-12-05 04:00,1.7
29-12-05 03:00,1.7
29-12-05 02:00,1.9
29-12-05 01:00,1.9
29-12-05 00:00,2.0
28-12-05 23:00,2.1
28-12-05 22:00,2.1
28-12-05 21:00,2.1
28-12-05 20:00,2.0
28-12-05 19:00,1.9
28-12-05 18:00,1.8
28-12-05 17:00,1.8
28-12-05 16:00,1.8
28-12-05 15:00,1.8
28-12-05 14:00,1.7
28-12-05 13:00,1.6
28-12-05 12:00,1.6
28-12-05 11:00,1.4
28-12-05 10:00,1.4
28-12-05 09:00,1.3
28-12-05 08:00,1.5
28-12-05 07:00,1.4
28-12-05 06:00,1.4
28-12-05 05:00,1.4
28-12-05 04:00,1.3
28-12-05 03:00,1.4
28-12-05 02:00,
28-12-05 01:00,
28-12-05 00:00,
27-12-05 23:00,
27-12-05 22:00,
27-12-05 21:00,1.9
27-12-05 20:00,1.8
27-12-05 19:00,2.1
27-12-05 18:00,2.4
27-12-05 17:00,2.2
27-12-05 16:00,2.1
27-12-05 15:00,2.0
27-12-05 14:00,2.1
27-12-05 13:00,2.1
27-12-05 12:00,1.7
27-12-05 11:00,1.3
27-12-05 10:00,1.2
27-12-05 09:00,1.4
27-12-05 08:00,1.2
27-12-05 07:00,0.9
27-12-05 06:00,0.8
27-12-05 05:00,0.7
27-12-05 04:00,0.7
27-12-05 03:00,0.8
27-12-05 02:00,0.8
27-12-05 01:00,0.8
27-12-05 00:00,0.8
26-12-05 23:00,0.8
26-12-05 22:00,0.7
26-12-05 21:00,0.7
26-12-05 20:00,0.7
26-12-05 19:00,0.6
26-12-05 18:00,0.6
26-12-05 17:00,0.9
26-12-05 16:00,1.0
26-12-05 15:00,0.8
26-12-05 14:00,0.8
26-12-05 13:00,1.0
26-12-05 12:00,1.2
26-12-05 11:00,1.1
26-12-05 10:00,0.7
26-12-05 09:00,0.4
26-12-05 08:00,0.4
26-12-05 07:00,0.5
26-12-05 06:00,0.5
26-12-05 05:00,0.6
26-12-05 04:00,0.6
26-12-05 03:00,0.6
26-12-05 02:00,0.7
26-12-05 01:00,0.8
26-12-05 00:00,0.9
25-12-05 23:00,1.2
25-12-05 22:00,1.3
25-12-05 21:00,2.2
25-12-05 20:00,2.2
25-12-05 19:00,3.7
25-12-05 18:00,1.7
25-12-05 17:00,0.7
25-12-05 16:00,0.6
25-12-05 15:00,0.6
25-12-05 14:00,0.4
25-12-05 13:00,0.5
25-12-05 12:00,0.4
25-12-05 11:00,0.4
25-12-05 10:00,0.4
25-12-05 09:00,0.4
25-12-05 08:00,0.4
25-12-05 07:00,0.4
25-12-05 06:00,0.4
25-12-05 05:00,0.3
25-12-05 04:00,0.3
25-12-05 03:00,0.3
25-12-05 02:00,0.3
25-12-05 01:00,0.4
25-12-05 00:00,0.4
24-12-05 23:00,0.6
24-12-05 22:00,0.6
24-12-05 21:00,0.6
24-12-05 20:00,0.7
24-12-05 19:00,0.9
24-12-05 18:00,0.8
24-12-05 17:00,1.2
24-12-05 16:00,1.3
24-12-05 15:00,1.2
24-12-05 14:00,1.1
24-12-05 13:00,1.2
24-12-05 12:00,1.4
24-12-05 11:00,1.4
24-12-05 10:00,1.0
24-12-05 09:00,0.8
24-12-05 08:00,0.7
24-12-05 07:00,0.7
24-12-05 06:00,
24-12-05 05:00,
24-12-05 04:00,
24-12-05 03:00,
24-12-05 02:00,
24-12-05 01:00,0.9
24-12-05 00:00,0.9
23-12-05 23:00,1.0
23-12-05 22:00,1.1
23-12-05 21:00,1.1
23-12-05 20:00,1.2
23-12-05 19:00,1.3
23-12-05 18:00,1.5
23-12-05 17:00,1.5
23-12-05 16:00,2.1
23-12-05 15:00,2.1
23-12-05 14:00,1.8
23-12-05 13:00,2.1
23-12-05 12:00,1.9
23-12-05 11:00,2.3
23-12-05 10:00,1.9
23-12-05 09:00,1.5
23-12-05 08:00,1.4
23-12-05 07:00,1.2
23-12-05 06:00,1.3
23-12-05 05:00,1.0
23-12-05 04:00,0.9
23-12-05 03:00,1.0
23-12-05 02:00,1.0
23-12-05 01:00,0.9
23-12-05 00:00,1.0
22-12-05 23:00,1.0
22-12-05 22:00,1.1
22-12-05 21:00,1.2
22-12-05 20:00,1.3
22-12-05 19:00,1.6
22-12-05 18:00,1.4
22-12-05 17:00,1.2
22-12-05 16:00,0.8
22-12-05 15:00,1.0
22-12-05 14:00,1.1
22-12-05 13:00,1.0
22-12-05 12:00,0.9
22-12-05 11:00,1.0
22-12-05 10:00,1.0
22-12-05 09:00,0.9
22-12-05 08:00,0.9
22-12-05 07:00,0.8
22-12-05 06:00,0.7
22-12-05 05:00,0.6
22-12-05 04:00,0.6
22-12-05 03:00,0.8
22-12-05 02:00,0.8
22-12-05 01:00,1.0
22-12-05 00:00,1.0
21-12-05 23:00,0.9
21-12-05 22:00,1.1
21-12-05 21:00,1.3
21-12-05 20:00,1.5
21-12-05 19:00,1.6
21-12-05 18:00,1.9
21-12-05 17:00,2.1
21-12-05 16:00,1.9
21-12-05 15:00,2.1
21-12-05 14:00,1.6
21-12-05 13:00,1.7
21-12-05 12:00,1.3
21-12-05 11:00,2.0
21-12-05 10:00,2.0
21-12-05 09:00,1.9
21-12-05 08:00,1.6
21-12-05 07:00,1.4
21-12-05 06:00,0.7
21-12-05 05:00,0.4
21-12-05 04:00,1.3
21-12-05 03:00,0.6
21-12-05 02:00,0.5
21-12-05 01:00,0.6
21-12-05 00:00,0.6
20-12-05 23:00,0.4
20-12-05 22:00,0.7
20-12-05 21:00,0.9
