Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-12-01,01:00,,,,13,,
2016-12-01,02:00,,,,11,,
2016-12-01,03:00,,,,12,,
2016-12-01,04:00,,,,13,,
2016-12-01,05:00,,,,15,,
2016-12-01,06:00,,,,11,,
2016-12-01,07:00,,,,10,,
2016-12-01,08:00,,,,10,,
2016-12-01,09:00,,,,11,,
2016-12-01,10:00,,,,14,,
2016-12-01,11:00,,,,17,,
2016-12-01,12:00,,,,20,,
2016-12-01,13:00,,,,21,,
2016-12-01,14:00,,,,19,,
2016-12-01,15:00,,,,19,,
2016-12-01,16:00,,,,16,,
2016-12-01,17:00,,,,20,,
2016-12-01,18:00,,,,20,,
2016-12-01,19:00,,,,23,,
2016-12-01,20:00,,,,28,,
2016-12-01,21:00,,,,30,,
2016-12-01,22:00,,,,29,,
2016-12-01,23:00,,,,31,,
2016-12-02,00:00,,,,31,,
2016-12-02,01:00,,,,45,,
2016-12-02,02:00,,,,55,,
2016-12-02,03:00,,,,63,,
2016-12-02,04:00,,,,62,,
2016-12-02,05:00,,,,64,,
2016-12-02,06:00,,,,65,,
2016-12-02,07:00,,,,64,,
2016-12-02,08:00,,,,57,,
2016-12-02,09:00,,,,58,,
2016-12-02,10:00,,,,55,,
2016-12-02,11:00,,,,56,,
2016-12-02,12:00,,,,60,,
2016-12-02,13:00,,,,62,,
2016-12-02,14:00,,,,59,,
2016-12-02,15:00,,,,55,,
2016-12-02,16:00,,,,44,,
2016-12-02,17:00,,,,35,,
2016-12-02,18:00,,,,25,,
2016-12-02,19:00,,,,13,,
2016-12-02,20:00,,,,10,,
2016-12-02,21:00,,,,4,,
2016-12-02,22:00,,,,13,,
2016-12-02,23:00,,,,14,,
2016-12-03,00:00,,,,8,,
2016-12-03,01:00,,,,1,,
2016-12-03,02:00,,,,1,,
2016-12-03,03:00,,,,1,,
2016-12-03,04:00,,,,1,,
2016-12-03,05:00,,,,1,,
2016-12-03,06:00,,,,1,,
2016-12-03,07:00,,,,1,,
2016-12-03,08:00,,,,1,,
2016-12-03,09:00,,,,1,,
2016-12-03,10:00,,,,3,,
2016-12-03,11:00,,,,8,,
2016-12-03,12:00,,,,16,,
2016-12-03,13:00,,,,20,,
2016-12-03,14:00,,,,20,,
2016-12-03,15:00,,,,25,,
2016-12-03,16:00,,,,16,,
2016-12-03,17:00,,,,5,,
2016-12-03,18:00,,,,1,,
2016-12-03,19:00,,,,1,,
2016-12-03,20:00,,,,1,,
2016-12-03,21:00,,,,1,,
2016-12-03,22:00,,,,2,,
2016-12-03,23:00,,,,2,,
2016-12-04,00:00,,,,2,,
2016-12-04,01:00,,,,2,,
2016-12-04,02:00,,,,2,,
2016-12-04,03:00,,,,2,,
2016-12-04,04:00,,,,2,,
2016-12-04,05:00,,,,1,,
2016-12-04,06:00,,,,1,,
2016-12-04,07:00,,,,1,,
2016-12-04,08:00,,,,1,,
2016-12-04,09:00,,,,1,,
2016-12-04,10:00,,,,1,,
2016-12-04,11:00,,,,5,,
2016-12-04,12:00,,,,11,,
2016-12-04,13:00,,,,17,,
2016-12-04,14:00,,,,19,,
2016-12-04,15:00,,,,14,,
2016-12-04,16:00,,,,3,,
2016-12-04,17:00,,,,1,,
2016-12-04,18:00,,,,2,,
2016-12-04,19:00,,,,2,,
2016-12-04,20:00,,,,3,,
2016-12-04,21:00,,,,3,,
2016-12-04,22:00,,,,3,,
2016-12-04,23:00,,,,2,,
