Datum Zeit,Leipzig-Mitte SO2
,µg/m³
01-08-12 00:00,2.2
31-07-12 23:00,2.5
31-07-12 22:00,3.6
31-07-12 21:00,4.4
31-07-12 20:00,5.2
31-07-12 19:00,4.0
31-07-12 18:00,5.6
31-07-12 17:00,4.0
31-07-12 16:00,4.0
31-07-12 15:00,4.0
31-07-12 14:00,4.0
31-07-12 13:00,3.8
31-07-12 12:00,3.6
31-07-12 11:00,3.5
31-07-12 10:00,3.9
31-07-12 09:00,4.2
31-07-12 08:00,5.7
31-07-12 07:00,2.4
31-07-12 06:00,1.7
31-07-12 05:00,1.5
31-07-12 04:00,1.8
31-07-12 03:00,2.2
31-07-12 02:00,2.1
31-07-12 01:00,2.2
31-07-12 00:00,2.8
30-07-12 23:00,2.6
30-07-12 22:00,2.9
30-07-12 21:00,3.2
30-07-12 20:00,3.4
30-07-12 19:00,4.0
30-07-12 18:00,3.6
30-07-12 17:00,6.0
30-07-12 16:00,4.7
30-07-12 15:00,3.8
30-07-12 14:00,3.5
30-07-12 13:00,3.3
30-07-12 12:00,3.1
30-07-12 11:00,3.2
30-07-12 10:00,3.8
30-07-12 09:00,3.3
30-07-12 08:00,3.2
30-07-12 07:00,2.9
30-07-12 06:00,2.3
30-07-12 05:00,2.2
30-07-12 04:00,2.4
30-07-12 03:00,2.4
30-07-12 02:00,3.1
30-07-12 01:00,3.3
30-07-12 00:00,3.3
29-07-12 23:00,2.8
29-07-12 22:00,2.8
29-07-12 21:00,3.5
29-07-12 20:00,3.7
29-07-12 19:00,3.5
29-07-12 18:00,3.7
29-07-12 17:00,3.5
29-07-12 16:00,3.3
29-07-12 15:00,3.4
29-07-12 14:00,3.4
29-07-12 13:00,3.7
29-07-12 12:00,3.1
29-07-12 11:00,3.8
29-07-12 10:00,3.1
29-07-12 09:00,3.2
29-07-12 08:00,3.1
29-07-12 07:00,3.0
29-07-12 06:00,2.9
29-07-12 05:00,3.2
29-07-12 04:00,2.8
29-07-12 03:00,2.4
29-07-12 02:00,2.7
29-07-12 01:00,3.4
29-07-12 00:00,3.8
28-07-12 23:00,3.7
28-07-12 22:00,3.1
28-07-12 21:00,3.6
28-07-12 20:00,3.9
28-07-12 19:00,4.3
28-07-12 18:00,4.4
28-07-12 17:00,4.5
28-07-12 16:00,4.5
28-07-12 15:00,4.2
28-07-12 14:00,4.0
28-07-12 13:00,4.1
28-07-12 12:00,5.3
28-07-12 11:00,6.7
28-07-12 10:00,7.8
28-07-12 09:00,6.8
28-07-12 08:00,4.9
28-07-12 07:00,4.0
28-07-12 06:00,4.7
28-07-12 05:00,4.1
28-07-12 04:00,4.5
