Datum Zeit,Bautzen CO
,mg/m3
01-01-01 00:00,0.1
31-12-00 23:00,0.1
31-12-00 22:00,0.1
31-12-00 21:00,0.2
31-12-00 20:00,0.2
31-12-00 19:00,0.3
31-12-00 18:00,0.1
31-12-00 17:00,0.1
31-12-00 16:00,0.1
31-12-00 15:00,0.1
31-12-00 14:00,0.1
31-12-00 13:00,0.1
31-12-00 12:00,0.2
31-12-00 11:00,0.1
31-12-00 10:00,0.1
31-12-00 09:00,0.1
31-12-00 08:00,0.1
31-12-00 07:00,0.1
31-12-00 06:00,0.1
31-12-00 05:00,0.1
31-12-00 04:00,0.1
31-12-00 03:00,0.1
31-12-00 02:00,0.1
31-12-00 01:00,0.1
31-12-00 00:00,0.1
30-12-00 23:00,0.1
30-12-00 22:00,0.1
30-12-00 21:00,0.3
30-12-00 20:00,0.6
30-12-00 19:00,0.7
30-12-00 18:00,0.5
30-12-00 17:00,0.4
30-12-00 16:00,0.4
30-12-00 15:00,0.4
30-12-00 14:00,0.4
30-12-00 13:00,0.4
30-12-00 12:00,1.1
30-12-00 11:00,1.8
30-12-00 10:00,3.3
30-12-00 09:00,1.2
30-12-00 08:00,0.7
30-12-00 07:00,0.4
30-12-00 06:00,
30-12-00 05:00,0.5
30-12-00 04:00,0.2
30-12-00 03:00,0.2
30-12-00 02:00,0.1
30-12-00 01:00,0.1
30-12-00 00:00,0.1
29-12-00 23:00,0.1
29-12-00 22:00,0.1
29-12-00 21:00,0.1
29-12-00 20:00,0.1
29-12-00 19:00,0.4
29-12-00 18:00,0.2
29-12-00 17:00,0.1
29-12-00 16:00,0.1
29-12-00 15:00,0.1
29-12-00 14:00,0.1
29-12-00 13:00,0.1
29-12-00 12:00,0.1
29-12-00 11:00,0.1
29-12-00 10:00,0.1
29-12-00 09:00,0.1
29-12-00 08:00,0.1
29-12-00 07:00,0.1
29-12-00 06:00,0.1
29-12-00 05:00,0.1
29-12-00 04:00,0.1
29-12-00 03:00,0.1
29-12-00 02:00,0.1
29-12-00 01:00,0.1
29-12-00 00:00,0.1
28-12-00 23:00,0.2
28-12-00 22:00,0.2
28-12-00 21:00,0.3
28-12-00 20:00,0.5
28-12-00 19:00,0.4
28-12-00 18:00,0.6
28-12-00 17:00,0.5
28-12-00 16:00,0.6
28-12-00 15:00,0.5
28-12-00 14:00,0.8
28-12-00 13:00,1.1
28-12-00 12:00,1.9
28-12-00 11:00,2.2
28-12-00 10:00,1.6
28-12-00 09:00,1.4
28-12-00 08:00,0.8
28-12-00 07:00,0.6
28-12-00 06:00,
28-12-00 05:00,0.1
28-12-00 04:00,0.1
28-12-00 03:00,0.1
28-12-00 02:00,0.1
28-12-00 01:00,0.1
28-12-00 00:00,0.1
27-12-00 23:00,0.1
27-12-00 22:00,0.2
27-12-00 21:00,0.1
27-12-00 20:00,0.1
27-12-00 19:00,0.1
27-12-00 18:00,0.2
27-12-00 17:00,0.3
27-12-00 16:00,0.3
27-12-00 15:00,0.3
27-12-00 14:00,0.2
27-12-00 13:00,0.2
27-12-00 12:00,0.2
27-12-00 11:00,0.2
27-12-00 10:00,0.4
27-12-00 09:00,0.3
27-12-00 08:00,0.3
27-12-00 07:00,0.3
27-12-00 06:00,0.2
27-12-00 05:00,0.2
27-12-00 04:00,0.2
27-12-00 03:00,0.2
27-12-00 02:00,0.1
27-12-00 01:00,0.2
27-12-00 00:00,0.3
26-12-00 23:00,0.4
26-12-00 22:00,0.3
26-12-00 21:00,0.6
26-12-00 20:00,0.7
26-12-00 19:00,0.6
26-12-00 18:00,0.7
26-12-00 17:00,0.6
26-12-00 16:00,0.6
26-12-00 15:00,1.0
26-12-00 14:00,0.6
26-12-00 13:00,0.5
26-12-00 12:00,0.5
26-12-00 11:00,0.5
26-12-00 10:00,0.5
26-12-00 09:00,0.4
26-12-00 08:00,0.2
26-12-00 07:00,
26-12-00 06:00,0.2
26-12-00 05:00,0.3
26-12-00 04:00,0.3
26-12-00 03:00,0.3
26-12-00 02:00,0.3
26-12-00 01:00,0.3
26-12-00 00:00,0.4
25-12-00 23:00,0.4
25-12-00 22:00,0.5
25-12-00 21:00,0.5
25-12-00 20:00,0.7
25-12-00 19:00,0.4
25-12-00 18:00,0.5
25-12-00 17:00,0.4
25-12-00 16:00,0.3
25-12-00 15:00,0.3
25-12-00 14:00,0.3
25-12-00 13:00,0.3
25-12-00 12:00,0.3
25-12-00 11:00,0.2
25-12-00 10:00,0.3
25-12-00 09:00,0.2
25-12-00 08:00,0.2
25-12-00 07:00,0.2
25-12-00 06:00,0.1
25-12-00 05:00,0.2
25-12-00 04:00,0.2
25-12-00 03:00,0.2
25-12-00 02:00,0.2
25-12-00 01:00,0.2
25-12-00 00:00,0.1
24-12-00 23:00,0.2
24-12-00 22:00,0.2
24-12-00 21:00,0.1
24-12-00 20:00,0.1
24-12-00 19:00,0.1
24-12-00 18:00,0.2
24-12-00 17:00,0.2
24-12-00 16:00,0.3
24-12-00 15:00,0.2
24-12-00 14:00,0.3
24-12-00 13:00,0.2
24-12-00 12:00,0.2
24-12-00 11:00,0.2
24-12-00 10:00,0.2
24-12-00 09:00,0.2
24-12-00 08:00,0.1
24-12-00 07:00,
24-12-00 06:00,0.2
24-12-00 05:00,0.1
24-12-00 04:00,0.1
24-12-00 03:00,0.2
24-12-00 02:00,0.2
24-12-00 01:00,0.1
24-12-00 00:00,0.1
23-12-00 23:00,0.1
23-12-00 22:00,0.1
23-12-00 21:00,0.2
23-12-00 20:00,0.2
23-12-00 19:00,0.3
23-12-00 18:00,0.3
23-12-00 17:00,0.3
23-12-00 16:00,0.2
23-12-00 15:00,0.1
23-12-00 14:00,0.1
23-12-00 13:00,0.1
23-12-00 12:00,0.1
23-12-00 11:00,0.1
23-12-00 10:00,0.1
23-12-00 09:00,0.1
23-12-00 08:00,0.1
23-12-00 07:00,0.1
23-12-00 06:00,0.1
23-12-00 05:00,0.1
23-12-00 04:00,0.1
23-12-00 03:00,0.1
23-12-00 02:00,0.1
23-12-00 01:00,0.1
23-12-00 00:00,0.1
22-12-00 23:00,0.1
22-12-00 22:00,0.1
22-12-00 21:00,0.1
22-12-00 20:00,0.1
22-12-00 19:00,0.2
22-12-00 18:00,0.3
22-12-00 17:00,0.3
22-12-00 16:00,0.2
22-12-00 15:00,0.2
22-12-00 14:00,0.2
22-12-00 13:00,0.2
22-12-00 12:00,0.2
22-12-00 11:00,0.2
22-12-00 10:00,0.2
22-12-00 09:00,0.2
22-12-00 08:00,
22-12-00 07:00,0.1
22-12-00 06:00,0.1
22-12-00 05:00,0.1
22-12-00 04:00,0.1
22-12-00 03:00,0.1
22-12-00 02:00,0.1
22-12-00 01:00,0.1
22-12-00 00:00,0.2
21-12-00 23:00,0.1
21-12-00 22:00,0.1
21-12-00 21:00,0.1
21-12-00 20:00,0.1
21-12-00 19:00,0.2
21-12-00 18:00,0.2
21-12-00 17:00,0.3
21-12-00 16:00,0.3
21-12-00 15:00,0.2
21-12-00 14:00,0.1
21-12-00 13:00,0.2
21-12-00 12:00,0.2
21-12-00 11:00,0.3
21-12-00 10:00,0.3
21-12-00 09:00,0.8
21-12-00 08:00,0.8
21-12-00 07:00,0.4
21-12-00 06:00,0.1
21-12-00 05:00,0.1
21-12-00 04:00,0.1
21-12-00 03:00,0.1
21-12-00 02:00,0.1
21-12-00 01:00,0.1
21-12-00 00:00,0.2
20-12-00 23:00,0.2
20-12-00 22:00,0.2
20-12-00 21:00,0.2
20-12-00 20:00,0.3
20-12-00 19:00,0.7
20-12-00 18:00,0.7
20-12-00 17:00,1.1
20-12-00 16:00,0.5
20-12-00 15:00,0.2
20-12-00 14:00,0.2
20-12-00 13:00,0.2
20-12-00 12:00,0.2
20-12-00 11:00,0.2
20-12-00 10:00,0.5
20-12-00 09:00,0.2
20-12-00 08:00,
20-12-00 07:00,0.2
20-12-00 06:00,0.1
20-12-00 05:00,0.2
20-12-00 04:00,0.1
20-12-00 03:00,0.1
20-12-00 02:00,0.1
20-12-00 01:00,0.1
20-12-00 00:00,0.2
19-12-00 23:00,0.2
19-12-00 22:00,0.3
19-12-00 21:00,0.3
19-12-00 20:00,0.4
19-12-00 19:00,0.6
19-12-00 18:00,2.3
19-12-00 17:00,1.3
19-12-00 16:00,0.9
19-12-00 15:00,0.6
19-12-00 14:00,0.3
19-12-00 13:00,0.4
19-12-00 12:00,1.1
19-12-00 11:00,1.1
19-12-00 10:00,1.0
19-12-00 09:00,1.9
19-12-00 08:00,2.6
