Datum Zeit,Leipzig-Mitte BEN
,µg/m³
01-01-02 00:00,2.7
31-12-01 23:00,3.0
31-12-01 22:00,3.0
31-12-01 21:00,3.4
31-12-01 20:00,3.3
31-12-01 19:00,3.6
31-12-01 18:00,3.4
31-12-01 17:00,3.1
31-12-01 16:00,5.5
31-12-01 15:00,4.8
31-12-01 14:00,5.2
31-12-01 13:00,4.0
31-12-01 12:00,3.6
31-12-01 11:00,2.8
31-12-01 10:00,3.4
31-12-01 09:00,2.2
31-12-01 08:00,1.6
31-12-01 07:00,1.6
31-12-01 06:00,1.3
31-12-01 05:00,1.5
31-12-01 04:00,1.6
31-12-01 03:00,3.2
31-12-01 02:00,3.0
31-12-01 01:00,2.1
31-12-01 00:00,2.2
30-12-01 23:00,1.7
30-12-01 22:00,1.4
30-12-01 21:00,1.9
30-12-01 20:00,1.7
30-12-01 19:00,1.5
30-12-01 18:00,1.7
30-12-01 17:00,1.8
30-12-01 16:00,2.0
30-12-01 15:00,1.7
30-12-01 14:00,1.3
30-12-01 13:00,1.6
30-12-01 12:00,1.0
30-12-01 11:00,1.5
30-12-01 10:00,0.8
30-12-01 09:00,0.6
30-12-01 08:00,1.0
30-12-01 07:00,1.3
30-12-01 06:00,2.5
30-12-01 05:00,4.3
30-12-01 04:00,5.5
30-12-01 03:00,2.4
30-12-01 02:00,4.8
30-12-01 01:00,5.8
30-12-01 00:00,2.8
29-12-01 23:00,5.8
29-12-01 22:00,3.7
29-12-01 21:00,2.5
29-12-01 20:00,4.5
29-12-01 19:00,2.3
29-12-01 18:00,2.5
29-12-01 17:00,5.9
29-12-01 16:00,2.4
29-12-01 15:00,3.7
29-12-01 14:00,4.0
29-12-01 13:00,3.3
29-12-01 12:00,4.1
29-12-01 11:00,2.5
29-12-01 10:00,2.2
29-12-01 09:00,1.4
29-12-01 08:00,1.0
29-12-01 07:00,0.9
29-12-01 06:00,1.6
29-12-01 05:00,2.4
29-12-01 04:00,1.5
29-12-01 03:00,1.2
29-12-01 02:00,1.1
29-12-01 01:00,1.4
29-12-01 00:00,0.9
28-12-01 23:00,1.0
28-12-01 22:00,1.2
28-12-01 21:00,1.5
28-12-01 20:00,2.7
28-12-01 19:00,3.1
28-12-01 18:00,3.3
28-12-01 17:00,1.3
28-12-01 16:00,1.7
28-12-01 15:00,1.8
28-12-01 14:00,1.3
28-12-01 13:00,1.6
28-12-01 12:00,2.1
28-12-01 11:00,1.8
28-12-01 10:00,
28-12-01 09:00,
28-12-01 08:00,
28-12-01 07:00,
28-12-01 06:00,
28-12-01 05:00,1.4
28-12-01 04:00,2.3
28-12-01 03:00,1.2
28-12-01 02:00,1.3
28-12-01 01:00,1.4
28-12-01 00:00,1.0
27-12-01 23:00,1.0
27-12-01 22:00,1.1
27-12-01 21:00,1.2
27-12-01 20:00,2.1
27-12-01 19:00,3.6
27-12-01 18:00,2.0
27-12-01 17:00,2.2
27-12-01 16:00,1.9
27-12-01 15:00,1.3
27-12-01 14:00,2.4
27-12-01 13:00,2.2
27-12-01 12:00,2.5
27-12-01 11:00,1.8
27-12-01 10:00,1.6
27-12-01 09:00,1.4
27-12-01 08:00,1.5
27-12-01 07:00,1.2
27-12-01 06:00,1.1
27-12-01 05:00,1.3
27-12-01 04:00,1.0
27-12-01 03:00,1.2
27-12-01 02:00,1.1
27-12-01 01:00,1.3
27-12-01 00:00,2.7
26-12-01 23:00,2.0
26-12-01 22:00,1.5
26-12-01 21:00,1.7
26-12-01 20:00,1.7
26-12-01 19:00,3.0
26-12-01 18:00,1.4
26-12-01 17:00,1.8
26-12-01 16:00,2.8
26-12-01 15:00,1.6
26-12-01 14:00,1.6
26-12-01 13:00,1.7
26-12-01 12:00,1.2
26-12-01 11:00,1.4
26-12-01 10:00,0.9
26-12-01 09:00,0.8
26-12-01 08:00,0.7
26-12-01 07:00,0.8
26-12-01 06:00,2.0
26-12-01 05:00,0.9
26-12-01 04:00,0.9
26-12-01 03:00,1.1
26-12-01 02:00,1.5
26-12-01 01:00,1.6
26-12-01 00:00,1.4
25-12-01 23:00,1.8
25-12-01 22:00,1.8
25-12-01 21:00,2.5
25-12-01 20:00,2.7
25-12-01 19:00,1.5
25-12-01 18:00,1.6
25-12-01 17:00,2.4
25-12-01 16:00,1.9
25-12-01 15:00,1.0
25-12-01 14:00,1.4
25-12-01 13:00,1.4
25-12-01 12:00,1.2
25-12-01 11:00,0.9
25-12-01 10:00,1.0
25-12-01 09:00,0.8
25-12-01 08:00,0.9
25-12-01 07:00,0.9
25-12-01 06:00,0.9
25-12-01 05:00,1.0
25-12-01 04:00,1.1
25-12-01 03:00,1.1
25-12-01 02:00,1.1
25-12-01 01:00,1.5
25-12-01 00:00,1.1
24-12-01 23:00,1.0
24-12-01 22:00,2.1
24-12-01 21:00,1.0
24-12-01 20:00,1.1
24-12-01 19:00,1.0
24-12-01 18:00,0.9
24-12-01 17:00,0.5
24-12-01 16:00,1.6
24-12-01 15:00,
24-12-01 14:00,
24-12-01 13:00,
24-12-01 12:00,
24-12-01 11:00,
24-12-01 10:00,1.1
24-12-01 09:00,1.6
24-12-01 08:00,0.8
24-12-01 07:00,0.7
24-12-01 06:00,1.0
24-12-01 05:00,1.0
24-12-01 04:00,0.9
24-12-01 03:00,1.4
24-12-01 02:00,1.2
24-12-01 01:00,1.3
24-12-01 00:00,1.5
23-12-01 23:00,1.8
23-12-01 22:00,1.8
23-12-01 21:00,2.0
23-12-01 20:00,1.9
23-12-01 19:00,2.1
23-12-01 18:00,2.2
23-12-01 17:00,3.2
23-12-01 16:00,2.7
23-12-01 15:00,9.3
23-12-01 14:00,3.6
