Datum Zeit,Schwartenberg SO2
,µg/m³
01-01-02 00:00,
31-12-01 23:00,8.5
31-12-01 22:00,4.2
31-12-01 21:00,3.6
31-12-01 20:00,4.6
31-12-01 19:00,7.4
31-12-01 18:00,6.1
31-12-01 17:00,4.7
31-12-01 16:00,5.3
31-12-01 15:00,4.1
31-12-01 14:00,3.7
31-12-01 13:00,8.4
31-12-01 12:00,14.4
31-12-01 11:00,5.5
31-12-01 10:00,3.8
31-12-01 09:00,3.4
31-12-01 08:00,4.2
31-12-01 07:00,4.4
31-12-01 06:00,
31-12-01 05:00,4.0
31-12-01 04:00,4.7
31-12-01 03:00,4.4
31-12-01 02:00,4.2
31-12-01 01:00,4.8
31-12-01 00:00,
30-12-01 23:00,3.0
30-12-01 22:00,3.2
30-12-01 21:00,2.8
30-12-01 20:00,4.6
30-12-01 19:00,3.7
30-12-01 18:00,4.0
30-12-01 17:00,3.4
30-12-01 16:00,3.9
30-12-01 15:00,3.8
30-12-01 14:00,4.0
30-12-01 13:00,2.7
30-12-01 12:00,1.5
30-12-01 11:00,1.5
30-12-01 10:00,2.0
30-12-01 09:00,1.4
30-12-01 08:00,2.5
30-12-01 07:00,3.1
30-12-01 06:00,
30-12-01 05:00,3.4
30-12-01 04:00,1.8
30-12-01 03:00,1.7
30-12-01 02:00,1.3
30-12-01 01:00,1.5
30-12-01 00:00,
29-12-01 23:00,1.0
29-12-01 22:00,1.0
29-12-01 21:00,1.0
29-12-01 20:00,1.0
29-12-01 19:00,1.0
29-12-01 18:00,1.0
29-12-01 17:00,1.0
29-12-01 16:00,1.0
29-12-01 15:00,1.0
29-12-01 14:00,1.0
29-12-01 13:00,1.0
29-12-01 12:00,1.0
29-12-01 11:00,1.0
29-12-01 10:00,1.0
29-12-01 09:00,1.0
29-12-01 08:00,1.0
29-12-01 07:00,
29-12-01 06:00,1.0
29-12-01 05:00,1.0
29-12-01 04:00,1.0
29-12-01 03:00,1.0
29-12-01 02:00,1.0
29-12-01 01:00,1.0
29-12-01 00:00,
28-12-01 23:00,3.5
28-12-01 22:00,3.1
28-12-01 21:00,2.2
28-12-01 20:00,2.2
28-12-01 19:00,1.9
28-12-01 18:00,2.3
28-12-01 17:00,1.4
28-12-01 16:00,1.7
28-12-01 15:00,1.7
28-12-01 14:00,1.9
28-12-01 13:00,2.7
28-12-01 12:00,2.1
28-12-01 11:00,2.3
28-12-01 10:00,2.8
28-12-01 09:00,2.6
28-12-01 08:00,3.3
28-12-01 07:00,
28-12-01 06:00,3.5
28-12-01 05:00,3.1
28-12-01 04:00,3.5
28-12-01 03:00,3.2
28-12-01 02:00,3.1
