Datum Zeit,Carlsfeld DRUCK
,hPa
01-03-19 00:00,
28-02-19 23:00,
28-02-19 22:00,
28-02-19 21:00,
28-02-19 20:00,
28-02-19 19:00,
28-02-19 18:00,
28-02-19 17:00,
28-02-19 16:00,
28-02-19 15:00,
28-02-19 14:00,
28-02-19 13:00,
28-02-19 12:00,
28-02-19 11:00,
28-02-19 10:00,
28-02-19 09:00,
28-02-19 08:00,
28-02-19 07:00,
28-02-19 06:00,
28-02-19 05:00,
28-02-19 04:00,
28-02-19 03:00,
28-02-19 02:00,
28-02-19 01:00,
28-02-19 00:00,
27-02-19 23:00,
27-02-19 22:00,
27-02-19 21:00,
27-02-19 20:00,
27-02-19 19:00,
27-02-19 18:00,
27-02-19 17:00,
27-02-19 16:00,
27-02-19 15:00,
27-02-19 14:00,
27-02-19 13:00,
27-02-19 12:00,
27-02-19 11:00,1027
27-02-19 10:00,1028
27-02-19 09:00,1030
27-02-19 08:00,1032
27-02-19 07:00,1032
27-02-19 06:00,1032
27-02-19 05:00,1033
27-02-19 04:00,1034
27-02-19 03:00,1034
27-02-19 02:00,1033
27-02-19 01:00,1034
27-02-19 00:00,1034
26-02-19 23:00,1034
26-02-19 22:00,1034
26-02-19 21:00,1034
26-02-19 20:00,1034
26-02-19 19:00,1033
26-02-19 18:00,1032
26-02-19 17:00,1032
26-02-19 16:00,1032
26-02-19 15:00,1033
26-02-19 14:00,1033
26-02-19 13:00,1033
26-02-19 12:00,1034
26-02-19 11:00,1034
26-02-19 10:00,1034
26-02-19 09:00,1034
26-02-19 08:00,1035
26-02-19 07:00,1035
26-02-19 06:00,1035
26-02-19 05:00,1035
26-02-19 04:00,1036
26-02-19 03:00,1037
26-02-19 02:00,1037
26-02-19 01:00,1037
26-02-19 00:00,1038
25-02-19 23:00,1038
25-02-19 22:00,1038
25-02-19 21:00,1039
25-02-19 20:00,1038
25-02-19 19:00,1037
25-02-19 18:00,1036
25-02-19 17:00,1035
25-02-19 16:00,1035
25-02-19 15:00,1035
25-02-19 14:00,1036
25-02-19 13:00,1037
25-02-19 12:00,1037
25-02-19 11:00,1038
25-02-19 10:00,1038
25-02-19 09:00,1040
25-02-19 08:00,1041
25-02-19 07:00,1041
25-02-19 06:00,1041
25-02-19 05:00,1041
25-02-19 04:00,1041
25-02-19 03:00,1041
25-02-19 02:00,1042
25-02-19 01:00,1041
25-02-19 00:00,1041
24-02-19 23:00,1041
24-02-19 22:00,1041
24-02-19 21:00,1042
24-02-19 20:00,1041
24-02-19 19:00,1040
24-02-19 18:00,1038
24-02-19 17:00,1037
24-02-19 16:00,1037
24-02-19 15:00,1037
24-02-19 14:00,1036
24-02-19 13:00,1038
24-02-19 12:00,1038
24-02-19 11:00,1038
24-02-19 10:00,1039
24-02-19 09:00,1041
24-02-19 08:00,1042
24-02-19 07:00,1042
24-02-19 06:00,1042
24-02-19 05:00,1042
24-02-19 04:00,1042
24-02-19 03:00,1041
24-02-19 02:00,1041
24-02-19 01:00,1041
24-02-19 00:00,1041
23-02-19 23:00,1042
23-02-19 22:00,1042
23-02-19 21:00,1043
23-02-19 20:00,1042
23-02-19 19:00,1042
23-02-19 18:00,1042
23-02-19 17:00,1042
23-02-19 16:00,1041
23-02-19 15:00,1041
23-02-19 14:00,1042
23-02-19 13:00,1043
23-02-19 12:00,1044
23-02-19 11:00,1044
23-02-19 10:00,1044
23-02-19 09:00,1044
23-02-19 08:00,1044
23-02-19 07:00,1044
23-02-19 06:00,1044
23-02-19 05:00,1044
23-02-19 04:00,1044
23-02-19 03:00,1045
23-02-19 02:00,1044
23-02-19 01:00,1044
23-02-19 00:00,1043
22-02-19 23:00,1043
22-02-19 22:00,1042
22-02-19 21:00,1041
22-02-19 20:00,1041
22-02-19 19:00,1040
22-02-19 18:00,1039
22-02-19 17:00,1038
22-02-19 16:00,1037
22-02-19 15:00,1036
22-02-19 14:00,1035
22-02-19 13:00,1034
22-02-19 12:00,1033
22-02-19 11:00,1032
22-02-19 10:00,1031
22-02-19 09:00,1030
22-02-19 08:00,1029
22-02-19 07:00,1028
22-02-19 06:00,1027
22-02-19 05:00,1027
22-02-19 04:00,1027
22-02-19 03:00,1027
22-02-19 02:00,1027
22-02-19 01:00,1027
22-02-19 00:00,1027
21-02-19 23:00,1027
21-02-19 22:00,1027
21-02-19 21:00,1027
21-02-19 20:00,1027
21-02-19 19:00,1027
21-02-19 18:00,1026
21-02-19 17:00,1026
21-02-19 16:00,1026
21-02-19 15:00,1026
21-02-19 14:00,1026
21-02-19 13:00,1026
21-02-19 12:00,1027
21-02-19 11:00,1027
21-02-19 10:00,1026
21-02-19 09:00,1027
21-02-19 08:00,1027
21-02-19 07:00,1027
21-02-19 06:00,1027
21-02-19 05:00,1027
21-02-19 04:00,1028
21-02-19 03:00,1028
21-02-19 02:00,1028
21-02-19 01:00,1027
21-02-19 00:00,1027
20-02-19 23:00,1026
20-02-19 22:00,1027
20-02-19 21:00,1027
20-02-19 20:00,1026
20-02-19 19:00,1025
20-02-19 18:00,1024
20-02-19 17:00,1024
20-02-19 16:00,1024
20-02-19 15:00,1024
20-02-19 14:00,1024
20-02-19 13:00,1024
20-02-19 12:00,1024
20-02-19 11:00,1024
