Datum Zeit,Plauen-Sued BEN
,µg/m³
01-06-01 00:00,0.4
31-05-01 23:00,0.5
31-05-01 22:00,1.0
31-05-01 21:00,0.8
31-05-01 20:00,0.7
31-05-01 19:00,0.9
31-05-01 18:00,2.1
31-05-01 17:00,1.9
31-05-01 16:00,1.7
31-05-01 15:00,1.5
31-05-01 14:00,1.7
31-05-01 13:00,1.5
31-05-01 12:00,7.5
31-05-01 11:00,2.4
31-05-01 10:00,3.5
31-05-01 09:00,4.8
31-05-01 08:00,4.5
31-05-01 07:00,4.7
31-05-01 06:00,
31-05-01 05:00,
31-05-01 04:00,
31-05-01 03:00,
31-05-01 02:00,
31-05-01 01:00,1.0
31-05-01 00:00,1.0
30-05-01 23:00,2.3
30-05-01 22:00,2.5
30-05-01 21:00,2.4
30-05-01 20:00,2.8
30-05-01 19:00,2.2
30-05-01 18:00,1.6
30-05-01 17:00,1.8
30-05-01 16:00,2.1
30-05-01 15:00,1.3
30-05-01 14:00,1.3
30-05-01 13:00,0.8
30-05-01 12:00,1.0
30-05-01 11:00,1.6
30-05-01 10:00,1.6
30-05-01 09:00,1.4
30-05-01 08:00,2.0
30-05-01 07:00,9.7
30-05-01 06:00,7.4
30-05-01 05:00,3.2
30-05-01 04:00,1.4
30-05-01 03:00,0.6
30-05-01 02:00,0.8
30-05-01 01:00,0.7
30-05-01 00:00,1.1
29-05-01 23:00,1.4
29-05-01 22:00,1.5
29-05-01 21:00,1.3
29-05-01 20:00,1.5
29-05-01 19:00,1.3
29-05-01 18:00,1.4
29-05-01 17:00,1.4
29-05-01 16:00,0.9
29-05-01 15:00,0.8
29-05-01 14:00,1.2
29-05-01 13:00,1.6
29-05-01 12:00,1.8
29-05-01 11:00,1.8
29-05-01 10:00,1.6
29-05-01 09:00,2.2
29-05-01 08:00,2.2
29-05-01 07:00,5.2
29-05-01 06:00,7.6
29-05-01 05:00,2.4
29-05-01 04:00,0.9
29-05-01 03:00,0.7
29-05-01 02:00,0.7
29-05-01 01:00,0.8
29-05-01 00:00,1.1
28-05-01 23:00,1.7
28-05-01 22:00,2.9
28-05-01 21:00,3.3
28-05-01 20:00,3.2
28-05-01 19:00,4.0
28-05-01 18:00,4.1
28-05-01 17:00,3.6
28-05-01 16:00,3.6
28-05-01 15:00,2.1
28-05-01 14:00,3.5
28-05-01 13:00,2.4
28-05-01 12:00,2.3
28-05-01 11:00,1.8
28-05-01 10:00,3.3
28-05-01 09:00,4.0
28-05-01 08:00,6.5
28-05-01 07:00,10.0
28-05-01 06:00,11.0
28-05-01 05:00,2.5
28-05-01 04:00,2.2
28-05-01 03:00,1.5
28-05-01 02:00,1.2
28-05-01 01:00,0.8
28-05-01 00:00,0.8
27-05-01 23:00,1.5
27-05-01 22:00,1.6
27-05-01 21:00,1.3
27-05-01 20:00,3.0
27-05-01 19:00,4.2
27-05-01 18:00,5.0
27-05-01 17:00,2.1
27-05-01 16:00,2.5
27-05-01 15:00,1.6
27-05-01 14:00,1.0
27-05-01 13:00,1.3
27-05-01 12:00,1.3
27-05-01 11:00,
27-05-01 10:00,
27-05-01 09:00,
27-05-01 08:00,
27-05-01 07:00,
27-05-01 06:00,1.8
27-05-01 05:00,1.6
27-05-01 04:00,1.0
27-05-01 03:00,1.3
27-05-01 02:00,1.1
27-05-01 01:00,1.8
27-05-01 00:00,2.9
26-05-01 23:00,2.9
26-05-01 22:00,2.5
26-05-01 21:00,3.4
26-05-01 20:00,2.8
26-05-01 19:00,0.9
26-05-01 18:00,0.7
26-05-01 17:00,1.7
26-05-01 16:00,1.4
26-05-01 15:00,0.9
26-05-01 14:00,1.1
26-05-01 13:00,1.0
26-05-01 12:00,2.0
26-05-01 11:00,2.7
26-05-01 10:00,3.1
26-05-01 09:00,4.7
26-05-01 08:00,0.9
26-05-01 07:00,0.9
26-05-01 06:00,3.0
26-05-01 05:00,1.8
26-05-01 04:00,1.3
26-05-01 03:00,1.2
26-05-01 02:00,1.1
26-05-01 01:00,1.3
26-05-01 00:00,1.4
25-05-01 23:00,1.8
25-05-01 22:00,3.0
25-05-01 21:00,2.4
25-05-01 20:00,1.4
25-05-01 19:00,1.4
25-05-01 18:00,1.9
