Datum Zeit,Plauen-Sued CO
,mg/m3
01-08-01 00:00,0.2
31-07-01 23:00,0.2
31-07-01 22:00,0.2
31-07-01 21:00,0.2
31-07-01 20:00,0.2
31-07-01 19:00,0.3
31-07-01 18:00,0.3
31-07-01 17:00,0.2
31-07-01 16:00,0.2
31-07-01 15:00,0.1
31-07-01 14:00,0.1
31-07-01 13:00,0.1
31-07-01 12:00,0.1
31-07-01 11:00,0.2
31-07-01 10:00,0.3
31-07-01 09:00,0.5
31-07-01 08:00,0.1
31-07-01 07:00,0.1
31-07-01 06:00,0.9
31-07-01 05:00,0.6
31-07-01 04:00,0.2
31-07-01 03:00,0.2
31-07-01 02:00,0.1
31-07-01 01:00,0.1
31-07-01 00:00,0.1
30-07-01 23:00,0.3
30-07-01 22:00,0.4
30-07-01 21:00,0.5
30-07-01 20:00,0.8
30-07-01 19:00,0.6
30-07-01 18:00,0.3
30-07-01 17:00,0.2
30-07-01 16:00,0.3
30-07-01 15:00,0.3
30-07-01 14:00,0.3
30-07-01 13:00,0.2
30-07-01 12:00,0.2
30-07-01 11:00,0.4
30-07-01 10:00,0.2
30-07-01 09:00,0.1
30-07-01 08:00,0.4
30-07-01 07:00,0.5
30-07-01 06:00,
30-07-01 05:00,1.1
30-07-01 04:00,0.2
30-07-01 03:00,0.3
30-07-01 02:00,0.1
30-07-01 01:00,0.1
30-07-01 00:00,0.1
29-07-01 23:00,0.2
29-07-01 22:00,0.4
29-07-01 21:00,0.3
29-07-01 20:00,0.2
29-07-01 19:00,0.1
29-07-01 18:00,0.1
29-07-01 17:00,0.1
29-07-01 16:00,0.2
29-07-01 15:00,0.1
29-07-01 14:00,0.1
29-07-01 13:00,0.1
29-07-01 12:00,0.1
29-07-01 11:00,0.2
29-07-01 10:00,0.2
29-07-01 09:00,0.1
29-07-01 08:00,0.1
29-07-01 07:00,0.1
29-07-01 06:00,0.1
29-07-01 05:00,0.1
29-07-01 04:00,0.1
29-07-01 03:00,0.1
29-07-01 02:00,0.1
29-07-01 01:00,0.1
29-07-01 00:00,0.1
28-07-01 23:00,0.2
28-07-01 22:00,0.7
28-07-01 21:00,0.9
28-07-01 20:00,1.2
28-07-01 19:00,0.7
28-07-01 18:00,0.1
28-07-01 17:00,0.1
28-07-01 16:00,0.1
28-07-01 15:00,0.1
28-07-01 14:00,0.2
28-07-01 13:00,0.1
28-07-01 12:00,0.2
28-07-01 11:00,0.5
28-07-01 10:00,0.5
28-07-01 09:00,0.4
28-07-01 08:00,0.3
28-07-01 07:00,0.1
28-07-01 06:00,
28-07-01 05:00,0.1
28-07-01 04:00,0.1
28-07-01 03:00,0.1
28-07-01 02:00,0.1
28-07-01 01:00,0.1
28-07-01 00:00,0.1
27-07-01 23:00,0.2
27-07-01 22:00,0.8
27-07-01 21:00,
27-07-01 20:00,0.6
27-07-01 19:00,0.3
27-07-01 18:00,0.2
27-07-01 17:00,0.3
27-07-01 16:00,0.3
27-07-01 15:00,0.2
27-07-01 14:00,0.3
27-07-01 13:00,0.4
27-07-01 12:00,0.2
27-07-01 11:00,0.2
27-07-01 10:00,0.4
27-07-01 09:00,0.4
27-07-01 08:00,0.2
27-07-01 07:00,0.4
27-07-01 06:00,0.7
27-07-01 05:00,0.6
27-07-01 04:00,0.1
27-07-01 03:00,0.1
27-07-01 02:00,0.1
27-07-01 01:00,0.1
27-07-01 00:00,0.1
26-07-01 23:00,0.1
26-07-01 22:00,0.1
26-07-01 21:00,0.3
26-07-01 20:00,0.3
26-07-01 19:00,0.2
26-07-01 18:00,0.3
26-07-01 17:00,0.2
26-07-01 16:00,0.1
26-07-01 15:00,0.2
26-07-01 14:00,0.1
26-07-01 13:00,0.1
26-07-01 12:00,0.1
26-07-01 11:00,0.1
26-07-01 10:00,0.2
26-07-01 09:00,0.3
26-07-01 08:00,0.6
26-07-01 07:00,0.5
26-07-01 06:00,1.2
26-07-01 05:00,0.8
26-07-01 04:00,0.3
26-07-01 03:00,0.1
26-07-01 02:00,0.1
26-07-01 01:00,0.1
26-07-01 00:00,0.2
25-07-01 23:00,0.2
25-07-01 22:00,
25-07-01 21:00,0.5
25-07-01 20:00,0.4
25-07-01 19:00,0.2
25-07-01 18:00,0.2
25-07-01 17:00,0.3
25-07-01 16:00,0.2
25-07-01 15:00,0.2
25-07-01 14:00,0.2
25-07-01 13:00,0.2
25-07-01 12:00,0.2
25-07-01 11:00,0.2
25-07-01 10:00,0.2
25-07-01 09:00,0.2
25-07-01 08:00,0.5
25-07-01 07:00,0.5
25-07-01 06:00,1.2
25-07-01 05:00,0.7
25-07-01 04:00,0.1
25-07-01 03:00,0.1
25-07-01 02:00,0.1
25-07-01 01:00,0.1
25-07-01 00:00,0.1
24-07-01 23:00,0.3
24-07-01 22:00,0.4
24-07-01 21:00,0.5
24-07-01 20:00,0.3
24-07-01 19:00,0.2
24-07-01 18:00,0.4
24-07-01 17:00,0.2
24-07-01 16:00,0.3
24-07-01 15:00,0.2
24-07-01 14:00,0.2
24-07-01 13:00,0.1
24-07-01 12:00,0.1
24-07-01 11:00,0.3
24-07-01 10:00,0.4
24-07-01 09:00,0.5
24-07-01 08:00,0.6
24-07-01 07:00,0.2
24-07-01 06:00,0.7
24-07-01 05:00,0.6
24-07-01 04:00,0.3
24-07-01 03:00,0.1
24-07-01 02:00,0.1
24-07-01 01:00,0.1
24-07-01 00:00,0.1
23-07-01 23:00,0.1
23-07-01 22:00,
23-07-01 21:00,0.4
23-07-01 20:00,0.2
23-07-01 19:00,0.2
23-07-01 18:00,0.2
23-07-01 17:00,0.2
23-07-01 16:00,0.2
23-07-01 15:00,0.1
23-07-01 14:00,0.2
23-07-01 13:00,0.2
23-07-01 12:00,0.1
23-07-01 11:00,0.2
23-07-01 10:00,0.3
23-07-01 09:00,0.5
23-07-01 08:00,0.2
23-07-01 07:00,0.2
23-07-01 06:00,1.2
23-07-01 05:00,0.8
23-07-01 04:00,0.2
23-07-01 03:00,0.1
23-07-01 02:00,0.1
23-07-01 01:00,0.1
23-07-01 00:00,0.1
22-07-01 23:00,0.1
22-07-01 22:00,0.5
22-07-01 21:00,0.6
22-07-01 20:00,0.6
22-07-01 19:00,0.4
22-07-01 18:00,0.2
22-07-01 17:00,0.1
22-07-01 16:00,0.1
22-07-01 15:00,0.1
22-07-01 14:00,0.2
22-07-01 13:00,0.1
22-07-01 12:00,0.1
22-07-01 11:00,0.1
22-07-01 10:00,0.4
22-07-01 09:00,0.2
22-07-01 08:00,0.2
22-07-01 07:00,0.1
22-07-01 06:00,0.1
22-07-01 05:00,0.1
22-07-01 04:00,0.1
22-07-01 03:00,0.1
22-07-01 02:00,0.1
22-07-01 01:00,0.1
22-07-01 00:00,0.1
21-07-01 23:00,
21-07-01 22:00,0.2
21-07-01 21:00,0.3
21-07-01 20:00,0.3
21-07-01 19:00,0.2
21-07-01 18:00,0.1
21-07-01 17:00,0.1
21-07-01 16:00,0.1
21-07-01 15:00,0.1
21-07-01 14:00,0.1
21-07-01 13:00,0.1
21-07-01 12:00,0.1
21-07-01 11:00,0.1
21-07-01 10:00,0.2
21-07-01 09:00,0.2
21-07-01 08:00,0.1
21-07-01 07:00,0.1
21-07-01 06:00,0.1
21-07-01 05:00,0.2
21-07-01 04:00,0.1
21-07-01 03:00,0.1
21-07-01 02:00,0.1
21-07-01 01:00,0.1
21-07-01 00:00,0.1
20-07-01 23:00,0.1
20-07-01 22:00,0.2
20-07-01 21:00,0.1
20-07-01 20:00,0.1
20-07-01 19:00,0.1
20-07-01 18:00,0.1
20-07-01 17:00,0.1
20-07-01 16:00,0.1
20-07-01 15:00,0.1
20-07-01 14:00,0.1
20-07-01 13:00,0.1
20-07-01 12:00,0.1
20-07-01 11:00,0.1
20-07-01 10:00,0.3
20-07-01 09:00,0.4
20-07-01 08:00,0.6
20-07-01 07:00,0.1
20-07-01 06:00,0.6
20-07-01 05:00,0.5
20-07-01 04:00,0.1
20-07-01 03:00,0.1
20-07-01 02:00,0.1
20-07-01 01:00,0.1
20-07-01 00:00,0.1
19-07-01 23:00,
19-07-01 22:00,0.3
19-07-01 21:00,0.2
19-07-01 20:00,0.2
19-07-01 19:00,0.1
19-07-01 18:00,0.1
19-07-01 17:00,0.2
19-07-01 16:00,0.2
19-07-01 15:00,0.3
19-07-01 14:00,0.4
19-07-01 13:00,0.2
19-07-01 12:00,0.2
19-07-01 11:00,0.2
19-07-01 10:00,0.4
19-07-01 09:00,0.5
19-07-01 08:00,0.1
19-07-01 07:00,0.1
19-07-01 06:00,0.2
19-07-01 05:00,0.1
19-07-01 04:00,0.1
19-07-01 03:00,0.1
19-07-01 02:00,0.1
19-07-01 01:00,0.1
19-07-01 00:00,0.1
18-07-01 23:00,0.1
18-07-01 22:00,0.2
18-07-01 21:00,0.2
18-07-01 20:00,0.1
18-07-01 19:00,0.3
18-07-01 18:00,0.2
18-07-01 17:00,0.4
18-07-01 16:00,0.2
18-07-01 15:00,0.4
18-07-01 14:00,0.6
18-07-01 13:00,0.3
18-07-01 12:00,0.5
18-07-01 11:00,0.3
18-07-01 10:00,0.5
18-07-01 09:00,0.7
18-07-01 08:00,1.0
18-07-01 07:00,0.2
18-07-01 06:00,1.1
18-07-01 05:00,0.1
18-07-01 04:00,0.1
18-07-01 03:00,0.1
18-07-01 02:00,0.1
18-07-01 01:00,0.1
18-07-01 00:00,
17-07-01 23:00,0.1
17-07-01 22:00,0.1
17-07-01 21:00,0.5
17-07-01 20:00,0.5
17-07-01 19:00,0.3
17-07-01 18:00,0.4
17-07-01 17:00,0.2
17-07-01 16:00,0.3
17-07-01 15:00,0.3
17-07-01 14:00,0.1
17-07-01 13:00,0.1
17-07-01 12:00,0.2
17-07-01 11:00,0.2
17-07-01 10:00,0.4
17-07-01 09:00,0.4
17-07-01 08:00,0.2
17-07-01 07:00,0.4
17-07-01 06:00,0.3
17-07-01 05:00,0.1
17-07-01 04:00,0.1
17-07-01 03:00,0.1
17-07-01 02:00,0.1
17-07-01 01:00,0.1
17-07-01 00:00,0.1
16-07-01 23:00,0.1
16-07-01 22:00,0.1
16-07-01 21:00,0.1
16-07-01 20:00,0.1
16-07-01 19:00,0.1
16-07-01 18:00,0.1
16-07-01 17:00,0.2
16-07-01 16:00,0.5
16-07-01 15:00,0.6
16-07-01 14:00,0.3
16-07-01 13:00,0.1
16-07-01 12:00,0.1
16-07-01 11:00,0.1
16-07-01 10:00,0.2
16-07-01 09:00,0.2
16-07-01 08:00,0.1
16-07-01 07:00,0.2
16-07-01 06:00,0.4
16-07-01 05:00,0.2
16-07-01 04:00,0.1
16-07-01 03:00,0.1
16-07-01 02:00,0.1
16-07-01 01:00,0.1
16-07-01 00:00,
15-07-01 23:00,0.1
15-07-01 22:00,0.1
15-07-01 21:00,0.2
15-07-01 20:00,0.2
15-07-01 19:00,0.2
15-07-01 18:00,0.2
15-07-01 17:00,0.1
15-07-01 16:00,0.2
15-07-01 15:00,0.2
15-07-01 14:00,0.2
15-07-01 13:00,0.2
15-07-01 12:00,0.2
15-07-01 11:00,0.2
15-07-01 10:00,0.1
15-07-01 09:00,0.2
15-07-01 08:00,0.2
15-07-01 07:00,0.1
15-07-01 06:00,0.1
15-07-01 05:00,0.1
15-07-01 04:00,0.1
15-07-01 03:00,0.1
15-07-01 02:00,0.1
15-07-01 01:00,0.1
15-07-01 00:00,0.2
14-07-01 23:00,0.3
14-07-01 22:00,0.3
14-07-01 21:00,0.2
14-07-01 20:00,0.2
14-07-01 19:00,0.1
14-07-01 18:00,0.2
14-07-01 17:00,0.2
14-07-01 16:00,0.2
14-07-01 15:00,0.1
14-07-01 14:00,0.2
14-07-01 13:00,0.1
14-07-01 12:00,0.2
14-07-01 11:00,0.1
